,date,open,high,low,close,volume
439,2021-02-11,2552.33,2565.13,2524.81,2526.92,8411730000.0
440,2021-02-14,2536.47,2536.47,2482.24,2493.59,6927670000.0
441,2021-02-15,2517.46,2586.01,2538.22,2586.01,10384200000.0
442,2021-02-16,2615.36,2631.37,2584.14,2601.51,10035500000.0
443,2021-02-17,2619.8,2623.64,2596.19,2611.45,8035510000.0
444,2021-02-18,2634.47,2642.47,2619.17,2636.68,8762150000.0
445,2021-02-21,2667.27,2667.59,2619.58,2640.34,8834600000.0
446,2021-02-22,2665.86,2676.16,2603.05,2607.67,8406310000.0
447,2021-02-23,2627.33,2627.33,2519.41,2586.51,8561540000.0
448,2021-02-24,2600.32,2620.45,2498.58,2599.07,6701870000.0
449,2021-02-25,2622.7,2622.77,2547.84,2554.13,6098190000.0
450,2021-02-28,2557.79,2559.43,2474.39,2474.39,8355290000.0
451,2021-03-01,2488.33,2524.4,2442.6,2515.03,5692320000.0
452,2021-03-02,2523.45,2529.64,2437.25,2455.33,6119640000.0
453,2021-03-03,2449.23,2453.67,2391.14,2416.01,6254810000.0
454,2021-03-04,2425.2,2507.09,2422.5,2506.68,6058100000.0
455,2021-03-07,2519.97,2527.09,2473.08,2485.1,5005470000.0
456,2021-03-09,2494.05,2494.41,2453.38,2461.88,4752710000.0
457,2021-03-10,2476.93,2479.63,2446.09,2458.49,4100410000.0
458,2021-03-14,2466.27,2469.43,2397.3,2407.26,4952720000.0
459,2021-03-15,2418.51,2432.95,2379.78,2389.19,4248420000.0
460,2021-03-16,2400.05,2417.47,2369.52,2391.75,3375700000.0
461,2021-03-17,2399.21,2432.4,2390.05,2432.15,3374550000.0
462,2021-03-18,2448.72,2476.61,2441.17,2475.09,4661790000.0
463,2021-03-21,2494.48,2538.47,2492.27,2538.47,5919820000.0
464,2021-03-22,2562.37,2568.36,2509.21,2514.4,5351340000.0
465,2021-03-23,2524.43,2531.46,2495.97,2528.96,5141900000.0
466,2021-03-24,2549.55,2570.67,2546.05,2570.31,6674420000.0
467,2021-03-25,2584.79,2595.88,2543.56,2548.97,6500810000.0
468,2021-03-29,2558.23,2562.6,2537.67,2543.52,4410340000.0
469,2021-03-30,2545.54,2576.33,2544.96,2575.67,6185680000.0
470,2021-03-31,2596.66,2619.15,2592.8,2619.03,6166900000.0
471,2021-04-01,2645.5,2645.5,2615.26,2631.9,7250920000.0
472,2021-04-04,2658.31,2658.73,2646.05,2657.61,9006860000.0
473,2021-04-05,2679.39,2682.27,2639.67,2658.75,7296760000.0
474,2021-04-06,2678.96,2678.96,2641.8,2674.47,7477800000.0
475,2021-04-07,2694.54,2694.98,2667.91,2671.62,7266970000.0
476,2021-04-08,2690.28,2690.28,2672.24,2674.36,6556620000.0
477,2021-04-12,2674.5,2694.38,2671.74,2691.56,7610830000.0
478,2021-04-13,2698.07,2715.53,2688.18,2714.79,7143150000.0
479,2021-04-15,2735.4,2755.3,2731.82,2735.4,8636670000.0
480,2021-04-18,2759.9,2760.02,2696.3,2699.51,8801800000.0
481,2021-04-19,2716.24,2716.87,2656.58,2661.94,6766800000.0
482,2021-04-20,2673.24,2684.77,2645.56,2664.62,5538620000.0
483,2021-04-21,2674.82,2675.41,2624.7,2632.21,5772250000.0
484,2021-04-22,2647.11,2651.53,2609.02,2648.01,5915140000.0
485,2021-04-25,2664.7,2665.56,2563.78,2572.21,7284190000.0
486,2021-04-26,2571.5,2579.41,2500.74,2506.62,6590930000.0
487,2021-04-27,2506.52,2599.37,2504.23,2599.08,5109100000.0
488,2021-04-28,2606.56,2622.66,2563.95,2585.28,3990430000.0
489,2021-04-29,2601.21,2612.29,2582.35,2611.11,4357020000.0
490,2021-05-02,2627.82,2665.11,2610.81,2665.11,7360800000.0
491,2021-05-03,2676.46,2694.0,2645.71,2652.58,7529290000.0
492,2021-05-04,2652.27,2663.64,2640.54,2654.03,5894770000.0
493,2021-05-05,2675.95,2676.57,2648.52,2649.6,6216810000.0
494,2021-05-06,2657.2,2659.09,2626.08,2637.13,6810090000.0
495,2021-05-09,2652.58,2652.6,2613.32,2618.63,6148970000.0
496,2021-05-10,2613.18,2647.07,2607.78,2645.85,4203830000.0
497,2021-05-11,2647.48,2680.91,2645.77,2673.32,5810670000.0
498,2021-05-12,2685.41,2688.75,2664.04,2673.88,5326050000.0
499,2021-05-13,2701.92,2702.74,2679.03,2684.01,7126890000.0
500,2021-05-16,2693.91,2738.59,2693.91,2738.3,10403900000.0
501,2021-05-17,2748.83,2771.22,2747.82,2759.22,9576360000.0
502,2021-05-18,2784.6,2794.96,2766.71,2793.81,11359400000.0
503,2021-05-19,2816.26,2822.23,2769.2,2780.81,11958100000.0
504,2021-05-20,2807.53,2807.53,2775.89,2787.19,9305220000.0
505,2021-05-23,2768.87,2820.6,2737.43,2820.0,11695000000.0
506,2021-05-24,2840.21,2850.73,2807.33,2823.05,13175400000.0
507,2021-05-25,2828.07,2836.24,2803.72,2816.6,11133400000.0
508,2021-05-27,2784.59,2836.06,2760.86,2815.4,14768800000.0
509,2021-05-30,2836.11,2854.8,2814.72,2827.93,17028400000.0
510,2021-05-31,2842.28,2851.18,2781.0,2782.86,13604600000.0
511,2021-06-01,2790.72,2799.85,2751.65,2771.15,8598160000.0
512,2021-06-02,2793.22,2827.29,2770.83,2827.13,11351800000.0
513,2021-06-03,2833.84,2876.11,2833.63,2856.77,16907000000.0
514,2021-06-06,2884.07,2920.21,2880.47,2906.91,17271800000.0
515,2021-06-07,2928.09,2933.54,2892.23,2906.7,15818700000.0
516,2021-06-08,2931.18,2960.29,2925.49,2960.14,16951300000.0
517,2021-06-09,2995.08,3005.9,2933.62,2946.58,16997100000.0
518,2021-06-10,2968.09,2971.89,2925.74,2944.78,16100400000.0
519,2021-06-13,2965.77,2984.24,2957.13,2983.11,19550200000.0
520,2021-06-14,3009.46,3051.02,3009.15,3025.83,18884000000.0
521,2021-06-15,3061.81,3064.07,3012.95,3022.11,16528700000.0
522,2021-06-16,2989.55,3031.73,2943.3,2969.72,15484500000.0
523,2021-06-17,2982.97,2990.01,2944.89,2968.42,10905000000.0
524,2021-06-20,2975.25,2980.27,2880.57,2905.32,11819400000.0
525,2021-06-21,2924.07,2924.48,2828.62,2834.41,11619000000.0
526,2021-06-22,2844.7,2914.43,2824.04,2913.84,10286300000.0
527,2021-06-23,2939.05,2940.03,2856.84,2859.96,8362670000.0
528,2021-06-24,2871.66,2873.76,2833.06,2843.0,7033600000.0
529,2021-06-27,2856.05,2883.02,2834.42,2870.18,7167430000.0
530,2021-06-28,2898.42,2901.99,2861.55,2871.7,7725600000.0
531,2021-06-29,2880.34,2890.16,2823.21,2828.0,6726360000.0
532,2021-06-30,2835.67,2844.19,2782.01,2823.88,5838550000.0
533,2021-07-01,2833.56,2867.25,2831.11,2843.0,6707780000.0
534,2021-07-04,2852.24,2857.83,2831.95,2834.52,5053540000.0
535,2021-07-05,2845.51,2847.43,2814.33,2822.74,4582210000.0
536,2021-07-06,2829.98,2835.31,2812.96,2818.11,4224020000.0
537,2021-07-07,2815.49,2826.41,2793.9,2801.13,4585860000.0
538,2021-07-08,2815.29,2832.73,2793.23,2825.11,4815520000.0
539,2021-07-11,2845.43,2900.18,2845.15,2899.82,8061380000.0
540,2021-07-12,2915.58,2930.41,2842.3,2854.84,9980030000.0
541,2021-07-13,2867.16,2884.75,2846.78,2871.03,5546360000.0
542,2021-07-14,2882.07,2883.25,2857.63,2872.05,5654580000.0
543,2021-07-15,2885.4,2890.34,2876.85,2883.38,8143610000.0
544,2021-07-18,2892.47,2980.61,2892.31,2980.61,11638100000.0
545,2021-07-19,3003.47,3032.84,2981.92,2994.42,11813800000.0
546,2021-07-22,2990.9,3018.76,2987.29,3004.33,11114100000.0
547,2021-07-25,3017.56,3058.85,3017.51,3058.64,14232400000.0
548,2021-07-26,3072.93,3076.13,3041.81,3050.43,14139800000.0
549,2021-07-27,3030.51,3085.81,2999.2,3076.37,349012000.0
550,2021-07-28,3088.45,3113.59,3075.93,3094.95,13292000000.0
551,2021-07-29,3103.53,3107.91,3076.39,3079.82,10905800000.0
552,2021-08-01,3088.45,3099.13,3075.54,3081.07,12103900000.0
553,2021-08-02,3087.91,3101.3,3079.04,3085.07,10983700000.0
554,2021-08-03,3094.24,3111.16,3091.92,3111.09,11529200000.0
555,2021-08-04,3126.99,3140.38,3120.78,3123.15,15595800000.0
556,2021-08-05,3130.54,3138.61,3101.79,3107.45,14316300000.0
557,2021-08-08,3117.03,3121.43,3099.07,3108.13,14308100000.0
558,2021-08-09,3113.95,3122.56,3098.6,3109.6,14137300000.0
559,2021-08-10,3120.3,3164.61,3114.06,3161.56,17846100000.0
560,2021-08-11,3172.54,3198.26,3158.17,3162.41,15455900000.0
561,2021-08-12,3172.75,3189.66,3166.68,3178.91,17513300000.0
562,2021-08-15,3170.65,3187.48,3104.86,3154.34,21647600000.0
563,2021-08-16,3165.09,3171.2,3136.47,3160.09,15930900000.0
564,2021-08-17,3165.69,3177.14,3154.76,3160.32,18204900000.0
565,2021-08-18,3172.3,3220.86,3153.42,3198.19,21313500000.0
566,2021-08-19,3208.53,3227.11,3178.25,3180.86,20499200000.0
567,2021-08-24,3186.47,3188.57,3121.68,3125.01,16124500000.0
568,2021-08-25,3126.02,3126.02,3068.04,3076.45,12092100000.0
569,2021-08-26,3085.04,3108.06,3069.72,3094.05,13422000000.0
570,2021-08-29,3105.75,3116.82,3038.78,3044.87,15483700000.0
571,2021-08-31,3047.26,3047.59,2969.75,2975.84,13259700000.0
572,2021-09-01,2977.29,3019.69,2961.0,2977.02,9351800000.0
573,2021-09-02,2976.18,2994.35,2915.98,2926.74,9505970000.0
574,2021-09-05,2928.8,2929.32,2779.03,2818.73,11240400000.0
575,2021-09-06,2816.93,2981.27,2804.53,2980.79,9826220000.0
576,2021-09-07,2999.62,3004.23,2912.99,2936.61,7495810000.0
577,2021-09-08,2940.91,2940.91,2873.64,2876.59,6646620000.0
578,2021-09-09,2880.55,2912.38,2865.96,2875.98,7050770000.0
579,2021-09-12,2887.5,2947.5,2887.47,2947.42,9440030000.0
580,2021-09-13,2962.81,2984.31,2939.79,2947.7,9290550000.0
581,2021-09-14,2950.37,2964.54,2915.62,2929.29,5195300000.0
582,2021-09-15,2933.23,2936.89,2881.53,2889.03,5358100000.0
583,2021-09-16,2889.21,2889.21,2795.24,2812.39,9033900000.0
584,2021-09-20,2817.98,2821.13,2696.81,2698.25,8493400000.0
585,2021-09-21,2693.42,2766.45,2613.87,2712.07,7364800000.0
586,2021-09-22,2719.91,2819.03,2719.89,2816.95,6179300000.0
587,2021-09-23,2833.52,2883.13,2804.16,2819.66,7726370000.0
588,2021-09-26,2836.36,2846.29,2756.33,2758.48,6500120000.0
589,2021-09-27,2762.6,2769.79,2678.14,2685.42,5120970000.0
590,2021-09-28,2683.6,2695.35,2602.19,2615.4,5745490000.0
591,2021-09-29,2616.78,2666.19,2578.76,2665.94,5028560000.0
592,2021-09-30,2667.45,2687.59,2629.95,2633.42,3700030000.0
593,2021-10-03,2637.36,2640.84,2572.96,2577.5,4113810000.0
594,2021-10-04,2577.36,2596.67,2542.09,2570.81,3627800000.0
595,2021-10-05,2569.79,2620.32,2569.78,2612.65,2996820000.0
